Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
56,,2018-02-13,24,TOR,,MIA,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
57,,2018-02-14,24,TOR,@,CHI,W (+24),Inactive,,,,,,,,,,,,,,,,,,,,,
58,,2018-02-23,24,TOR,,MIL,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
59,4,2018-02-26,24,TOR,,DET,W (+29),0,8:54,0,2,0,0,2,0,0,0,,0,3,3,1,0,0,0,1,0,-0.2,7
60,5,2018-02-28,24,TOR,@,ORL,W (+13),0,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
61,6,2018-03-02,24,TOR,@,WAS,W (+7),0,6:40,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,3,2.7,6
62,7,2018-03-04,24,TOR,,CHO,W (+5),1,13:34,0,2,0,0,2,0,0,0,,0,1,1,0,0,0,0,2,0,-1.9,5
63,8,2018-03-06,25,TOR,,ATL,W (+16),1,14:30,1,3,0.333,1,3,0.333,2,2,1,1,1,2,0,1,0,0,1,5,4.9,-4
64,9,2018-03-07,25,TOR,@,DET,W (+2),0,4:36,1,2,0.5,0,1,0,0,0,,0,0,0,1,0,0,0,0,2,1.7,1
65,10,2018-03-09,25,TOR,,HOU,W (+3),0,9:52,3,3,1,1,1,1,0,0,,0,0,0,0,0,0,1,1,7,4.7,0
66,11,2018-03-11,25,TOR,@,NYK,W (+26),0,12:00,3,4,0.75,2,3,0.667,0,0,,1,2,3,0,0,0,1,1,8,6.3,4
67,12,2018-03-13,25,TOR,@,BRK,W (+14),0,4:47,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4
68,13,2018-03-15,25,TOR,@,IND,W (+7),1,22:07,1,2,0.5,0,0,,2,2,1,0,3,3,0,0,2,0,0,4,5.3,4
69,14,2018-03-16,25,TOR,,DAL,W (+7),0,6:50,1,3,0.333,1,3,0.333,0,0,,1,0,1,1,0,0,2,2,3,-0.1,-9
70,,2018-03-18,25,TOR,,OKC,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
71,15,2018-03-20,25,TOR,@,ORL,W (+7),1,8:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1,-1
72,,2018-03-21,25,TOR,@,CLE,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
73,,2018-03-23,25,TOR,,BRK,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
74,,2018-03-25,25,TOR,,LAC,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
75,,2018-03-27,25,TOR,,DEN,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
76,,2018-03-31,25,TOR,@,BOS,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
77,,2018-04-03,25,TOR,@,CLE,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
78,,2018-04-04,25,TOR,,BOS,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
79,,2018-04-06,25,TOR,,IND,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
80,,2018-04-08,25,TOR,,ORL,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
81,,2018-04-09,25,TOR,@,DET,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
82,,2018-04-11,25,TOR,@,MIA,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
